负荷增长率,园区,风电(kW),光伏(kW),储能功率(kW),储能容量(kWh),日总成本(元)
+40%,A,0.0,2216.2,1270.1,8445.7,7479.3
+40%,B,1799.5,0.0,453.6,2175.1,4130.1
+40%,C,1795.2,302.9,285.7,660.2,3754.2
+45%,A,0.0,2295.3,1315.5,8747.4,7746.4
+45%,B,1863.8,0.0,469.8,2252.8,4277.6
+45%,C,1859.3,313.8,295.9,683.8,3888.3
+50%,A,0.0,2374.5,1360.9,9049.0,8013.5
+50%,B,1928.0,0.0,486.0,2330.4,4425.1
+50%,C,1923.4,324.6,306.1,707.3,4022.4
+55%,A,0.0,2453.6,1406.2,9350.6,8280.6
+55%,B,1992.3,0.0,502.2,2408.1,4572.7
+55%,C,1987.6,335.4,316.3,730.9,4156.5
+60%,A,0.0,2532.8,1451.6,9652.3,8547.7
+60%,B,2056.6,0.0,518.4,2485.8,4720.2
+60%,C,2051.7,346.2,326.6,754.5,4290.6
