循环寿命,λ_deg(元/kWh),园区,调度成本(不含衰减),衰减成本(元),含衰减总成本(元),无衰减总成本(元),吞吐量(kWh),网购电变化(kWh)
10000,0.1375,A,6042.6,22.0,6064.6,6042.6,160.2,0.0
10000,0.1375,B,4989.0,53.4,5042.4,4989.0,388.3,0.0
10000,0.1375,C,4900.9,35.1,4936.0,4900.9,255.3,0.0
6000,0.2292,A,6042.6,36.7,6079.3,6042.6,160.2,0.0
6000,0.2292,B,5071.2,0.0,5071.2,4989.0,0.0,184.2
6000,0.2292,C,4921.0,36.7,4957.7,4900.9,160.2,45.1
4000,0.3438,A,6084.9,0.0,6084.9,6042.6,0.0,76.0
4000,0.3438,B,5071.2,0.0,5071.2,4989.0,0.0,184.2
4000,0.3438,C,4963.3,0.0,4963.3,4900.9,0.0,121.1
2000,0.6875,A,6084.9,0.0,6084.9,6042.6,0.0,76.0
2000,0.6875,B,5071.2,0.0,5071.2,4989.0,0.0,184.2
2000,0.6875,C,4963.3,0.0,4963.3,4900.9,0.0,121.1
