场景,园区,网购电(kWh),电网排放(kgCO2),储能隐含碳(kgCO2),总排放(kgCO2),单位排放(g/kWh)
Q1(1) 基线,A,4874.1,2831.9,0.0,2831.9,358.4
Q1(1) 基线,B,2432.3,1413.2,0.0,1413.2,183.3
Q1(1) 基线,C,2699.4,1568.3,0.0,1568.3,201.7
Q1(2) 50kW/100kWh,A,4798.1,2787.7,3.97,2791.7,353.3
Q1(2) 50kW/100kWh,B,2248.1,1306.1,3.97,1310.1,169.9
Q1(2) 50kW/100kWh,C,2578.3,1498.0,3.97,1501.9,193.2
Q1(3) 最优储能,A,4874.1,2831.9,0.0,2831.9,358.4
Q1(3) 最优储能,B,1853.1,1076.7,13.62,1090.3,141.4
Q1(3) 最优储能,C,2593.2,1506.6,3.12,1509.8,194.2
Q2 独立合计,合计,10005.8,5813.4,0.0,5813.4,248.6
Q2 联合运营,合计,8266.3,4802.7,0.0,4802.7,205.4
Q3(1) 风光储,A,0.0,0.0,316.14,316.1,26.7
Q3(1) 风光储,B,0.0,0.0,83.27,83.3,7.2
Q3(1) 风光储,C,0.0,0.0,27.45,27.4,2.4
Q3(1) 联合,联合,0.0,0.0,127.45,127.5,3.6
Q3(2) 12月分时电价,A,2453094.8,1425248.1,33806.5,1459054.5,337.3
Q3(2) 12月分时电价,B,1368909.3,795336.3,29912.0,825248.3,195.5
Q3(2) 12月分时电价,C,1216235.4,706632.8,19555.0,726187.8,170.6
