时段(h),负荷(kW),风电消纳(kW),光伏消纳(kW),网购电(kW),充电(kW),放电(kW),时段末SOC(kWh)
0,275.0,0.0,0.0,275.0,0.0,-0.0,10.0
1,275.0,0.0,0.0,275.0,0.0,0.0,10.0
2,277.0,0.0,0.0,277.0,0.0,0.0,10.0
3,310.0,0.0,0.0,310.0,0.0,0.0,10.0
4,310.0,0.0,0.0,310.0,0.0,0.0,10.0
5,293.0,0.0,0.0,293.0,0.0,0.0,10.0
6,293.0,0.0,0.0,293.0,0.0,0.0,10.0
7,380.0,0.0,4.35,375.65,0.0,0.0,10.0
8,375.0,0.0,226.95,148.05,0.0,0.0,10.0
9,281.0,0.0,281.0,0.0,0.0,0.0,10.0
10,447.0,0.0,447.0,0.0,0.0,0.0,10.0
11,447.0,0.0,447.0,0.0,-0.0,0.0,10.0
12,447.0,0.0,447.0,0.0,0.0,0.0,10.0
13,405.0,0.0,439.21,0.0,34.21,0.0,42.5
14,404.0,0.0,454.0,0.0,50.0,0.0,90.0
15,403.0,0.0,318.15,34.85,0.0,50.0,37.37
16,268.0,0.0,46.42,195.58,0.0,26.0,10.0
17,313.0,0.0,0.0,313.0,0.0,-0.0,10.0
18,287.0,0.0,0.0,287.0,0.0,-0.0,10.0
19,288.0,0.0,0.0,288.0,0.0,-0.0,10.0
20,284.0,0.0,0.0,284.0,0.0,0.0,10.0
21,287.0,0.0,0.0,287.0,0.0,0.0,10.0
22,277.0,0.0,0.0,277.0,0.0,0.0,10.0
23,275.0,0.0,0.0,275.0,0.0,0.0,10.0
