时段(h),负荷(kW),风电消纳(kW),光伏消纳(kW),网购电(kW),充电(kW),放电(kW),时段末SOC(kWh)
0,241.0,230.1,0.0,10.9,0.0,-0.0,10.0
1,253.0,288.68,0.0,0.0,35.68,0.0,43.89
2,329.0,296.8,0.0,0.0,0.0,32.2,10.0
3,315.0,315.0,0.0,0.0,-0.0,0.0,10.0
4,290.0,324.21,0.0,0.0,34.21,0.0,42.5
5,270.0,320.0,0.0,0.0,50.0,0.0,90.0
6,307.0,240.2,0.0,16.8,0.0,50.0,37.37
7,354.0,47.3,0.0,280.7,0.0,26.0,10.0
8,264.0,153.8,0.0,110.2,0.0,0.0,10.0
9,315.0,106.8,0.0,208.2,0.0,0.0,10.0
10,313.0,51.8,0.0,261.2,0.0,-0.0,10.0
11,291.0,216.9,0.0,74.1,0.0,0.0,10.0
12,360.0,354.6,0.0,5.4,0.0,0.0,10.0
13,369.0,219.4,0.0,149.6,0.0,-0.0,10.0
14,389.0,111.0,0.0,278.0,0.0,0.0,10.0
15,419.0,218.6,0.0,200.4,0.0,0.0,10.0
16,412.0,377.9,0.0,34.1,0.0,-0.0,10.0
17,291.0,291.0,0.0,0.0,0.0,0.0,10.0
18,379.0,413.21,0.0,0.0,34.21,0.0,42.5
19,303.0,353.0,0.0,0.0,50.0,0.0,90.0
20,331.0,219.7,0.0,61.3,0.0,50.0,37.37
21,306.0,178.3,0.0,101.7,0.0,26.0,10.0
22,285.0,153.5,0.0,131.5,0.0,0.0,10.0
23,324.0,0.0,0.0,324.0,0.0,-0.0,10.0
