时段(h),负荷(kW),风电消纳(kW),光伏消纳(kW),网购电(kW),充电(kW),放电(kW),时段末SOC(kWh)
0,302.0,73.2,0.0,228.8,0.0,0.0,10.0
1,292.0,108.75,0.0,183.25,0.0,0.0,10.0
2,307.0,197.95,0.0,109.05,0.0,-0.0,10.0
3,293.0,91.55,0.0,201.45,0.0,0.0,10.0
4,271.0,235.8,0.0,35.2,0.0,0.0,10.0
5,252.0,302.0,0.0,0.0,50.0,0.0,57.5
6,283.0,147.3,0.0,90.58,0.0,45.12,10.0
7,223.0,60.7,6.3,156.0,0.0,0.0,10.0
8,292.0,12.5,196.8,82.7,0.0,0.0,10.0
9,283.0,0.0,283.0,0.0,-0.0,0.0,10.0
10,287.0,0.0,287.0,0.0,0.0,0.0,10.0
11,362.0,0.0,396.21,0.0,34.21,0.0,42.5
12,446.0,0.0,496.0,0.0,50.0,0.0,90.0
13,504.0,10.74,493.26,0.0,0.0,-0.0,90.0
14,455.0,54.98,400.02,0.0,0.0,0.0,90.0
15,506.0,81.65,256.5,117.85,0.0,50.0,37.37
16,283.0,132.25,12.96,111.79,0.0,26.0,10.0
17,311.0,170.4,0.0,140.6,0.0,-0.0,10.0
18,418.0,159.15,0.0,258.85,0.0,0.0,10.0
19,223.0,164.95,0.0,58.05,0.0,0.0,10.0
20,229.0,85.15,0.0,143.85,0.0,0.0,10.0
21,361.0,82.75,0.0,278.25,0.0,0.0,10.0
22,302.0,94.85,0.0,207.15,0.0,0.0,10.0
23,291.0,116.15,0.0,174.85,0.0,0.0,10.0
