时段(h),联合负荷(kW),风电消纳(kW),光伏消纳(kW),网购电(kW),弃电(kW)
0,818.0,303.3,0.0,514.7,0.0
1,820.0,491.55,0.0,328.45,0.0
2,913.0,494.75,0.0,418.25,0.0
3,918.0,535.95,0.0,382.05,0.0
4,871.0,738.7,0.0,132.3,0.0
5,815.0,671.65,0.0,143.35,0.0
6,883.0,387.5,0.0,495.5,0.0
7,957.0,108.0,10.65,838.35,0.0
8,931.0,166.3,423.75,340.95,0.0
9,879.0,48.66,830.34,0.0,209.29
10,1047.0,0.0,1047.0,0.0,69.09
11,1100.0,0.0,1100.0,0.0,355.22
12,1253.0,73.24,1179.76,0.0,448.11
13,1278.0,196.59,1081.41,0.0,155.46
14,1248.0,172.0,882.8,193.2,0.0
15,1328.0,300.25,574.65,453.1,0.0
16,963.0,510.15,59.38,393.46,0.0
17,915.0,512.5,0.0,402.5,0.0
18,1084.0,659.95,0.0,424.05,0.0
19,814.0,629.55,0.0,184.45,0.0
20,844.0,304.85,0.0,539.15,0.0
21,954.0,261.05,0.0,692.95,0.0
22,864.0,248.35,0.0,615.65,0.0
23,890.0,116.15,0.0,773.85,0.0
