时段(h),负荷(kW),风电消纳(kW),光伏消纳(kW),网购电(kW),充电(kW),放电(kW),时段末SOC(kWh),分时电价(元/kWh)
0,453.0,172.87,0.0,280.13,0.0,-0.0,147.59,0.4
1,438.0,256.82,0.0,181.18,0.0,-0.0,147.59,0.4
2,460.5,467.47,0.0,0.0,6.97,0.0,154.21,0.4
3,439.5,216.2,0.0,217.01,0.0,6.29,147.59,0.4
4,406.5,514.54,0.0,0.0,108.04,0.0,250.23,0.4
5,378.0,733.85,0.0,0.0,355.85,0.0,588.29,0.4
6,424.5,347.86,0.0,0.0,0.0,76.64,507.61,0.4
7,334.5,143.35,7.99,0.0,0.0,183.16,314.81,1.0
8,438.0,29.52,249.63,0.0,0.0,158.85,147.59,1.0
9,424.5,312.75,480.53,0.0,368.78,0.0,497.93,1.0
10,430.5,0.0,472.13,0.0,41.63,0.0,537.48,1.0
11,543.0,144.53,679.24,0.0,280.77,0.0,804.21,1.0
12,669.0,352.9,684.88,0.0,368.78,0.0,1154.55,1.0
13,756.0,313.26,625.67,0.0,182.92,0.0,1328.33,1.0
14,682.5,144.05,507.4,0.0,0.0,31.05,1295.65,1.0
15,759.0,192.82,325.35,0.0,0.0,240.83,1042.15,1.0
16,424.5,312.31,16.44,0.0,0.0,95.75,941.36,1.0
17,466.5,402.41,0.0,0.0,0.0,64.09,873.89,1.0
18,627.0,375.84,0.0,0.0,0.0,251.16,609.51,1.0
19,334.5,389.54,0.0,0.0,55.04,0.0,661.8,1.0
20,343.5,201.09,0.0,0.0,0.0,142.41,511.89,1.0
21,541.5,195.42,0.0,0.0,0.0,346.08,147.59,1.0
22,453.0,223.99,0.0,229.01,0.0,0.0,147.59,0.4
23,436.5,274.29,0.0,162.21,0.0,-0.0,147.59,0.4
