时段(h),原始负荷(kW),调整后负荷(kW),负荷调整量(kW),光伏消纳(kW),储能充电(kW),储能放电(kW),时段末SOC(kWh),网购电(kW)
0,275.0,220.0,-55.0,0.0,0.0,-0.0,10.0,220.0
1,275.0,220.0,-55.0,0.0,0.0,0.0,10.0,220.0
2,277.0,221.6,-55.4,0.0,0.0,0.0,10.0,221.6
3,310.0,248.0,-62.0,0.0,0.0,0.0,10.0,248.0
4,310.0,248.0,-62.0,0.0,0.0,0.0,10.0,248.0
5,293.0,234.4,-58.6,0.0,0.0,0.0,10.0,234.4
6,293.0,234.4,-58.6,0.0,0.0,0.0,10.0,234.4
7,380.0,304.0,-76.0,4.35,0.0,0.0,10.0,299.65
8,375.0,300.0,-75.0,226.95,0.0,0.0,10.0,73.05
9,281.0,337.2,56.2,337.2,0.0,0.0,10.0,0.0
10,447.0,536.4,89.4,536.4,0.0,0.0,10.0,0.0
11,447.0,536.4,89.4,536.4,-0.0,0.0,10.0,0.0
12,447.0,536.4,89.4,570.61,34.21,0.0,42.5,0.0
13,405.0,486.0,81.0,536.0,50.0,0.0,90.0,0.0
14,404.0,484.8,80.8,482.78,0.0,2.02,87.87,0.0
15,403.0,483.6,80.6,318.15,0.0,50.0,35.24,115.45
16,268.0,214.4,-53.6,46.42,0.0,23.98,10.0,144.0
17,313.0,250.4,-62.6,0.0,0.0,-0.0,10.0,250.4
18,287.0,229.6,-57.4,0.0,0.0,-0.0,10.0,229.6
19,288.0,230.4,-57.6,0.0,0.0,0.0,10.0,230.4
20,284.0,338.2,54.2,0.0,0.0,0.0,10.0,338.2
21,287.0,344.4,57.4,0.0,0.0,0.0,10.0,344.4
22,277.0,332.4,55.4,0.0,0.0,0.0,10.0,332.4
23,275.0,330.0,55.0,0.0,0.0,0.0,10.0,330.0
