平移比例,园区,运行成本(元),网购电(kWh),弃电量(kWh),原始峰谷差(kW),调整后峰谷差(kW),峰谷差缩减
0%,A,6084.9,4874.1,951.2,179.0,179.0,0.0%
0%,B,5071.2,2432.3,897.5,178.0,178.0,0.0%
0%,C,4963.3,2699.4,1128.0,283.0,283.0,0.0%
10%,A,5939.0,4631.0,708.1,179.0,250.5,-39.9%
10%,B,4966.1,2222.2,687.4,178.0,215.6,-21.1%
10%,C,4839.8,2480.0,908.6,283.0,353.7,-25.0%
20%,A,5794.4,4389.9,467.0,179.0,322.0,-79.9%
20%,B,4864.6,2019.2,484.4,178.0,283.2,-59.1%
20%,C,4719.3,2266.6,695.2,283.0,426.4,-50.7%
30%,A,5674.4,4190.0,267.1,179.0,393.5,-119.8%
30%,B,4774.1,1838.2,303.4,178.0,307.9,-73.0%
30%,C,4625.9,2099.3,527.9,283.0,499.1,-76.4%
