园区,不确定类型,delta_L,delta_W,delta_S,运行成本(元),网购电(kWh),弃电量(kWh)
A,仅负荷,0.0,0.0,0.0,6084.9,4874.1,951.2
A,仅负荷,0.05,0.0,0.0,6407.0,5147.6,829.6
A,仅负荷,0.1,0.0,0.0,6729.1,5421.1,708.1
A,仅负荷,0.15,0.0,0.0,7051.2,5694.6,586.6
A,仅负荷,0.2,0.0,0.0,7374.6,5970.1,467.0
A,仅风光,0.0,0.0,0.0,6084.9,4874.1,951.2
A,仅风光,0.0,0.05,0.05,6102.8,4903.9,782.1
A,仅风光,0.0,0.1,0.1,6120.6,4933.7,613.0
A,仅风光,0.0,0.15,0.15,6138.5,4963.5,443.9
A,仅风光,0.0,0.2,0.2,6167.0,5011.1,292.5
A,复合,0.0,0.0,0.0,6084.9,4874.1,951.2
A,复合,0.05,0.05,0.05,6424.9,5177.4,660.5
A,复合,0.1,0.1,0.1,6770.8,5490.6,379.8
A,复合,0.15,0.15,0.15,7150.9,5860.7,155.9
A,复合,0.2,0.2,0.2,7586.1,6322.7,24.0
B,仅负荷,0.0,0.0,0.0,5071.2,2432.3,897.5
B,仅负荷,0.05,0.0,0.0,5404.1,2712.8,792.5
B,仅负荷,0.1,0.0,0.0,5737.1,2993.2,687.4
B,仅负荷,0.15,0.0,0.0,6070.1,3273.6,582.4
B,仅负荷,0.2,0.0,0.0,6406.6,3561.2,484.4
B,仅风光,0.0,0.0,0.0,5071.2,2432.3,897.5
B,仅风光,0.0,0.05,0.05,5150.6,2591.1,747.6
B,仅风光,0.0,0.1,0.1,5230.0,2750.0,597.7
B,仅风光,0.0,0.15,0.15,5309.5,2909.0,447.9
B,仅风光,0.0,0.2,0.2,5397.5,3085.0,315.1
B,复合,0.0,0.0,0.0,5071.2,2432.3,897.5
B,复合,0.05,0.05,0.05,5483.5,2871.6,642.5
B,复合,0.1,0.1,0.1,5902.0,3323.1,399.8
B,复合,0.15,0.15,0.15,6337.2,3807.9,190.3
B,复合,0.2,0.2,0.2,6814.4,4376.9,65.0
C,仅负荷,0.0,0.0,0.0,4963.3,2699.4,1128.0
C,仅负荷,0.05,0.0,0.0,5288.9,2975.5,1015.3
C,仅负荷,0.1,0.0,0.0,5617.4,3257.6,908.6
C,仅负荷,0.15,0.0,0.0,5946.0,3539.7,801.9
C,仅负荷,0.2,0.0,0.0,6274.5,3821.8,695.2
C,仅风光,0.0,0.0,0.0,4963.3,2699.4,1128.0
C,仅风光,0.0,0.05,0.05,5040.8,2840.8,959.2
C,仅风光,0.0,0.1,0.1,5121.4,2988.2,796.4
C,仅风光,0.0,0.15,0.15,5201.9,3135.7,633.6
C,仅风光,0.0,0.2,0.2,5287.2,3289.8,477.5
C,复合,0.0,0.0,0.0,4963.3,2699.4,1128.0
C,复合,0.05,0.05,0.05,5369.4,3122.9,852.5
C,复合,0.1,0.1,0.1,5779.0,3552.4,583.0
C,复合,0.15,0.15,0.15,6230.0,4055.2,386.7
C,复合,0.2,0.2,0.2,6690.2,4569.4,201.9
